,Unnamed: 0,Rule 1,Rule 2,Initial clusters,CA Silhoutte,Kmeans Silhoutte,New Clusters,New CA Silhoutte,New Kmeans Silhoutte
117,117,260509455,2076199920,12,-0.378108796935301,0.4598324187630279,2,0.3043889757694148,0.7663611080988648
115,115,2783028705,4039315215,9,-0.3911313733255224,0.4907195480030768,2,0.3028795292068348,0.7663611080988648
284,284,252656880,1016918172,8,-0.2856051847823722,0.5402522282032921,2,0.2991355617762204,0.7663611080988648
190,190,252656880,1016918172,8,-0.2856051847823722,0.5402522282032921,2,0.2991355617762204,0.7663611080988648
191,191,252656880,1016918172,8,-0.2856051847823722,0.5402522282032921,2,0.2991355617762204,0.7663611080988648
31,31,1263225675,4027518936,2,0.2977859084693687,0.7663611080988648,2,0.2977859084693687,0.7663611080988648
110,110,2018212020,2218767600,25,0.0667747030105016,0.212747251558989,2,0.2954580789099057,0.7663611080988648
30,30,755961615,3537028050,28,0.15625,0.15625,2,0.2953619279927975,0.7663611080988648
60,60,755961615,267448560,28,0.15625,0.15625,2,0.2953619279927975,0.7663611080988648
75,75,755961615,1259293455,28,0.15625,0.15625,2,0.2953619279927975,0.7663611080988648
31,31,755961615,3537035730,28,0.15625,0.15625,2,0.2953619279927975,0.7663611080988648
47,47,755961615,4035440880,28,0.15625,0.15625,2,0.2953619279927975,0.7663611080988648
69,69,755961615,757935405,28,0.15625,0.15625,2,0.2953619279927975,0.7663611080988648
27,27,755961615,3035673780,28,0.15625,0.15625,2,0.2953619279927975,0.7663611080988648
10,10,755961615,2218767600,28,0.15625,0.15625,2,0.2953619279927975,0.7663611080988648
66,66,755961615,755969295,28,0.15625,0.15625,2,0.2953619279927975,0.7663611080988648
25,25,755961615,3031741620,28,0.15625,0.15625,2,0.2953619279927975,0.7663611080988648
21,21,755961615,2526451350,28,0.15625,0.15625,2,0.2953619279927975,0.7663611080988648
18,18,755961615,252648975,28,0.15625,0.15625,2,0.2953619279927975,0.7663611080988648
29,29,755961615,3530698098,28,0.15625,0.15625,2,0.2953619279927975,0.7663611080988648
46,46,755961615,4034007024,28,0.15625,0.15625,2,0.2953619279927975,0.7663611080988648
43,43,755961615,4027576560,28,0.15625,0.15625,2,0.2953619279927975,0.7663611080988648
52,52,755961615,4042264560,28,0.15625,0.15625,2,0.2953619279927975,0.7663611080988648
55,55,755961615,264441615,28,0.15625,0.15625,2,0.2953619279927975,0.7663611080988648
42,42,755961615,4027576335,28,0.15625,0.15625,2,0.2953619279927975,0.7663611080988648
53,53,755961615,4042272240,28,0.15625,0.15625,2,0.2953619279927975,0.7663611080988648
